model,bleu,rouge1,rouge2,rougeL,meteor,bertscore,semantic_similarity
mistral,0.018319700017198074,0.24792684893581943,0.06499891799783819,0.16231665153267227,0.2318858100190006,0.5821587443351746,0.792946994304657
llama3.2,0.00810504449679153,0.22796316729630398,0.04247018271543059,0.14447416219775203,0.16333733667780947,0.5468560457229614,0.7865914702415466
gemma2,0.012528802525056122,0.2406067708508968,0.06011410404795727,0.16536544286956886,0.1632598527672987,0.5533709526062012,0.8159414529800415
